Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Fountoulakis2003	Corbin2003	Taoka2004	Butland2005	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	P24182	Q9S4X5	P00350	P31119	P60560	P0AG44	P0A9P0	P08660	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P00363	P00634	P0A910	C1P619	P0ACV0	Q46798	A5A615	P00561	P0AFG8	P25714	P00350	Accession
P09394	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	11	G	GLPQ_ECOLI			P09394		P09394	P09394	P09394		P09394				P09394				P09394						P09394				P09394			P09394				P09394
P09546	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	12	F1	PUTA_ECOLI			P09546		P09546	P09546	P09546	P09546	P09546				P09546								P09546					P09546	P09546			P09546				P09546
P09549	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	DEDD_ECOLI							P09549														P09549					P09549	P09549			P09549				P09549
P09836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	B	UHPC_ECOLI																										P09836								
P0A6A0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	B	UBIB_ECOLI					P0A6A0			P0A6A0					P0A6A0													P0A6A0	P0A6A0			P0A6A0				P0A6A0
P0A6E9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	B	BIOD2_ECOLI								P0A6E9																		P0A6E9				P0A6E9				
P0A6H8	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	CLS_ECOLI			P0A6H8			P0A6H8										P0A6H8					P0A6H8					P0A6H8	P0A6H8			P0A6H8				P0A6H8
P0A6J1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	B	CYSC_ECOLI						P0A6J1																												P0A6J1
P0A6J3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	CYSZ_ECOLI			P0A6J3																		P0A6J3					P0A6J3	P0A6J3			P0A6J3				P0A6J3
P0A6J5	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	14	F1	DADA_ECOLI					P0A6J5	P0A6J5	P0A6J5		P0A6J5			P0A6J5	P0A6J5	P0A6J5	P0A6J5						P0A6J5		P0A6J5			P0A6J5	P0A6J5			P0A6J5				P0A6J5
P0A6Q6	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	12	F1	FABZ_ECOLI			P0A6Q6				P0A6Q6	P0A6Q6	P0A6Q6				P0A6Q6		P0A6Q6		P0A6Q6									P0A6Q6	P0A6Q6			P0A6Q6			P0A6Q6	P0A6Q6
P0A6S0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	I	FLGH_ECOLI																											P0A6S0							
P0A6X3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	5	F1	HFQ_ECOLI								P0A6X3					P0A6X3														P0A6X3			P0A6X3				P0A6X3
P0A6Y8	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	23	F1	DNAK_ECOLI			P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8		P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8			P0A6Y8	P0A6Y8		P0A6Y8	P0A6Y8		P0A6Y8	P0A6Y8			P0A6Y8			P0A6Y8	P0A6Y8
P0A6Z3	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	18	F1	HTPG_ECOLI			P0A6Z3		P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3		P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3		P0A6Z3	P0A6Z3			P0A6Z3						P0A6Z3	P0A6Z3			P0A6Z3			P0A6Z3	P0A6Z3
P0A734	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	10	F1	MINE_ECOLI			P0A734			P0A734	P0A734		P0A734				P0A734			P0A734										P0A734	P0A734			P0A734				P0A734
P0A754	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	F1	KEFF_ECOLI							P0A754	P0A754					P0A754																	P0A754				
P0A756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	F1	KEFG_ECOLI																											P0A756			P0A756				P0A756
P0A759	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	9	B	NAGB_ECOLI			P0A759			P0A759	P0A759						P0A759			P0A759										P0A759	P0A759			P0A759				P0A759
P0A766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	RNFA_ECOLI																																		P0A766
P0A769	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	B	MNTH_ECOLI								P0A769																		P0A769								
