Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6EGZ6_ECOBD	0	0	0	F1
C6EL15_ECOBD	0	0	0	B
C6EL14_ECOBD	0	0	0	B
C6EAN1_ECOBD	1	0	1	F2
C6EAN0_ECOBD	0	0	0	B
C6EAM9_ECOBD	1	0	1	B
C6EAM8_ECOBD	0	0	0	B
C6EEH1_ECOBD	0	0	0	E
C6EEH0_ECOBD	1	0	1	B
C6EHG0_ECOBD	0	0	0	B
C6EHE8_ECOBD	0	0	0	B
C6EDP9_ECOBD	0	0	0	B
C6EDP8_ECOBD	0	0	0	B
C6ECU0_ECOBD	0	0	0	B
C6EG93_ECOBD	0	0	0	B
C6EBP1_ECOBD	0	0	0	B
C6ED42_ECOBD	0	0	0	B
C6ED43_ECOBD	0	0	0	B
C6ED44_ECOBD	0	0	0	I
C6EAH3_ECOBD	0	0	0	I
C6ED04_ECOBD	0	0	0	B
C6EE79_ECOBD	0	0	0	B
C6ELC5_ECOBD	0	0	0	G
C6EA86_ECOBD	0	0	0	B
C6EA85_ECOBD	0	0	0	F1
C6EA87_ECOBD	1	0	1	E
C6EAG3_ECOBD	0	0	0	F1
C6EAG4_ECOBD	0	0	0	B
C6EC04_ECOBD	0	0	0	G
C6ELN3_ECOBD	0	0	0	B
C6ELM7_ECOBD	0	0	0	B
C6EGU1_ECOBD	1	0	1	F1
C6EGU2_ECOBD	0	0	0	F1
C6EC47_ECOBD	1	0	1	H
C6ELA7_ECOBD	1	0	1	I
C6EH36_ECOBD	0	0	0	F1
C6EH35_ECOBD	0	0	0	G
C6EH34_ECOBD	1	0	1	G
C6EH33_ECOBD	0	0	0	B
C6EH32_ECOBD	0	0	0	F1
C6EDQ4_ECOBD	0	0	0	F1
C6EDK6_ECOBD	0	0	0	I
C6EAI5_ECOBD	0	0	0	B
C6EJ53_ECOBD	1	0	1	I
C6EJT0_ECOBD	1	0	1	I
C6EIE7_ECOBD	1	0	1	I
C6EA79_ECOBD	0	0	0	I
C6EK32_ECOBD	0	0	0	F3
C6EG97_ECOBD	0	0	0	F1
C6EG62_ECOBD	0	0	0	F1
C6EL77_ECOBD	0	0	0	B
C6EF47_ECOBD	0	0	0	B
C6EB36_ECOBD	0	0	0	B
C6EBT7_ECOBD	0	0	0	B
C6EBT8_ECOBD	0	0	0	B
C6EFQ2_ECOBD	0	0	0	G
C6E9Y9_ECOBD	0	0	0	B
C6EAW8_ECOBD	0	0	0	B
C6EGL0_ECOBD	1	0	1	F1
C6EGL1_ECOBD	1	0	1	B
C6EGL2_ECOBD	0	0	0	B
C6EI68_ECOBD	1	0	1	B
C6EBX2_ECOBD	0	0	0	B
C6EGH6_ECOBD	0	0	0	B
C6EII5_ECOBD	1	0	1	B
C6EB91_ECOBD	1	0	1	F1
C6EH19_ECOBD	0	0	0	B
C6EHF4_ECOBD	0	0	0	B
C6EH64_ECOBD	0	0	0	B
C6EAW5_ECOBD	1	0	1	F1
C6EL50_ECOBD	0	0	0	B
C6EJD4_ECOBD	1	0	1	B
C6EHE4_ECOBD	0	0	0	B
C6EBI1_ECOBD	1	0	1	F1
C6EJQ7_ECOBD	0	0	0	B
C6EJQ9_ECOBD	1	0	1	B
C6EBS4_ECOBD	0	0	0	G
C6EH10_ECOBD	0	0	0	B
C6EBS5_ECOBD	0	0	0	G
C6EH08_ECOBD	0	0	0	B
C6E9Z4_ECOBD	0	0	0	G
C6E9Z7_ECOBD	0	0	0	G
C6E9Z8_ECOBD	0	0	0	B
C6E9Z5_ECOBD	0	0	0	G
C6E9Z6_ECOBD	0	0	0	B
C6EGN9_ECOBD	0	0	0	F1
C6EGN8_ECOBD	0	0	0	F1
C6EGN6_ECOBD	0	0	0	B
C6EGP0_ECOBD	0	0	0	B
C6EKP3_ECOBD	0	0	0	B
C6EEP6_ECOBD	0	0	0	B
C6EEQ0_ECOBD	0	0	0	B
C6EGP2_ECOBD	0	0	0	B
C6EEP8_ECOBD	0	0	0	F1
