Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P30014	1		1					1																			3	1		1					1																			A		
P30128	1	1		1		1		1																			5	1	1		1		1		1																			A		
P30137	1			1				1																			3	1			1				1																			A		
P30139	1																										1	1																										A		
P30140	1			1				1																			3	1			1				1																			A		
P30177	1			1		1	1	1																			5	1			1		1	1	1																			A		
P30178	1		1		1		1	1																			5	1		1		1		1	1																			A		
P30745	1			1			1	1																			4	1			1			1	1																			A		
P30749	1	1	1	1			1	1														1					7	1	1	1	1			1	1														1					A		
P30843	1		1	1		1		1								1											6	1		1	1		1		1								1											A		
P30850	1	1	1	1	1	1	1	1	1	1																	10	1	1	1	1	1	1	1	1	1	1																	A		
P30863	1		1				1	1																			4	1		1				1	1																			A		
P30866	1	1																									2	1	1																									A		
P30870	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P30871	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P30958	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P31120	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P31129	1			1																							2	1			1																							A		
P31142	1		1			1	1	1																			5	1		1			1	1	1																			A		
P31443	1			1																							2	1			1																							A		
P31455	1			1		1		1																			4	1			1		1		1																			A		
P31475	1					1	1	1																			4	1					1	1	1																			A		
P31551	1	1		1																							3	1	1		1																							A		
P31552	1			1	1																						3	1			1	1																						A		
P31658	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
P31663	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
P31677	1		1		1	1	1	1																			6	1		1		1	1	1	1																			A		
P31678	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P31802	1		1			1	1	1	1															1			7	1		1			1	1	1	1															1			A		
P31808	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P32099	1				1	1	1	1																			5	1				1	1	1	1																			A		
P32131	1		1			1	1	1																			5	1		1			1	1	1																			A		
P32132	1		1	1	1	1	1	1	1	1			1			1								1			12	1		1	1	1	1	1	1	1	1			1			1								1			A		
P32156	1			1																		1					3	1			1																		1					A		
P32157	1		1	1				1																			4	1		1	1				1																			A		
P32162	1			1				1														1					4	1			1				1														1					A		
P32169	1			1																							2	1			1																							A		
P32170	1			1		1																					3	1			1		1																					A		
P32171	1					1																					2	1					1																					A		
P32173	1			1			1	1																			4	1			1			1	1																			A		
P32177	1			1				1																			3	1			1				1																			A		
P32662	1	1	1				1	1																			5	1	1	1				1	1																			A		
P32664	1						1	1																			3	1						1	1																			A		
P32669	1			1																							2	1			1																							A		
P32674	1			1																							2	1			1																							A		
P32675	1		1	1		1																					4	1		1	1		1																					A		
P32677	1																										1	1																										A		
P32680	1		1				1	1	1																		5	1		1				1	1	1																		A		
P32684	1		1			1	1	1																		1	6	1		1			1	1	1																		1	A		
P32695	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P33012	1		1					1														1					4	1		1					1														1					A		
P33018	1		1					1																			3	1		1					1																			A		
P33022	1			1																							2	1			1																							A		
P33195	1		1	1		1	1	1	1					1												1	9	1		1	1		1	1	1	1					1												1	A		
P33224	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P33355	1			1			1	1																			4	1			1			1	1																			A		
P33368	1		1	1				1																			4	1		1	1				1																			A		
P33371	1			1				1																			3	1			1				1																			A		
P33570	1	1	1	1		1	1	1																1			8	1	1	1	1		1	1	1																1			A		
P33596	1			1																							2	1			1																							A		
P33643	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P33644	1		1	1				1																			4	1		1	1				1																			A		
P33919	1			1		1		1																			4	1			1		1		1																			A		
P33920	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			A		
P34209	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P35340	1		1	1		1	1	1		1				1													8	1		1	1		1	1	1		1				1													A		
P36547	1			1																							2	1			1																							A		
P36553	1	1	1	1																							4	1	1	1	1																							A		
P36562	1							1																			2	1							1																			A		
P36566	1			1			1	1																			4	1			1			1	1																			A		
P36645	1			1																							2	1			2																							A		
P36659	1	1	1			1	1	1		1				1													8	1	1	1			1	1	1		1				1													A		
P36662	1					1																					2	1					1																					A		
P36673	1			1				1																			3	1			1				1																			A		
P36680	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P36683	1	1	1	1	1	1	1	1	1	1			1				1							1		1	14	1	1	1	1	1	1	1	1	1	1			1				1							1		1	A		
P36767	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P36771	1	1					1	1																			4	1	1					1	1																			A		
P36928	1		1	1	1	1	1	1	1																		8	1		1	1	1	1	1	1	1																		A		
P36938	1	1		1		1	1	1		1				1													8	1	1		1		1	1	1		1				1													A		
P36979	1	1	1	1	1	1	1	1	1																		9	1	1	1	1	1	1	1	1	1																		A		
P36999	1			1			1	1																			4	1			1			1	1																			A		
P37013	1																										1	1																										A		
P37024	1			1		1	1	1																			5	1			1		1	1	1																			A		
P37025	1							1																			2	1							1																			A		
P37047	1			1	1			1																			4	1			1	1			1																			A		
P37051	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P37095	1	1	1	1		1	1	1	1	1				1													10	1	1	1	1		1	1	1	1	1				1													A		
P37127	1	1		1		1																					4	1	1		1		1																					A		
P37128	1		1	1				1																			4	1		1	1				1																			A		
P37182	1			1				1														1					4	1			1				1														1					A		
P37195	1					1	1	1																			4	1					1	1	1																			A		
P37306	1																										1	1																										A		
P37338	1			1				1																			3	1			1				1																			A		
P37344	1	1		1				1																			4	1	1		1				1																			A		
P37348	1							1																			2	1							1																			A		
P37353	1			1				1																			3	1			1				1																			A		
P37355	1																										1	1																										A		
P37440	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P37590	1					1		1														1					4	1					1		1														1					A		
P37595	1			1				1																			3	1			1				1																			A		
P37596	1																										1	1																										A		
P37623	1																										1	1																										A		
P37634	1	1	1	1			1	1		1																	7	1	1	1	1			1	1		1																	A		
P37640	1			1																							2	1			1																							A		
P37646	1			1																				1			3	1			1																				1			A		
P37647	1		1			1	1	1						1													6	1		1			1	1	1						1													A		
P37664	1	1																									2	1	1																									A		
P37666	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P37686	1					1																					2	1					1																					A		
P37689	1	1	1			1	1	1						1									1				8	1	1	1			1	1	1						1									1				A		
P37692	1		1			1	1	1		1																1	7	1		1			1	1	1		1																1	A		
P37765	1		1	1	1	1	1	1	1																	1	9	1		1	1	1	1	1	1	1																	1	A		
P37773	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P37794	1	1						1																			3	1	1						1																			A		
P38038	1		1		1		1	1																			5	1		1		1		1	1																			A		
P38051	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P38521	1		1				1	1														1				1	6	1		1				1	1														1				1	A		
P38684	1			1				1																			3	1			1				1																			A		
P39163	1			1																							2	1			1																							A		
P39173	1		1				1	1		1																	5	1		1				1	1		1																	A		
P39177	1	1	1	1	1	1	1	1														1					9	1	1	1	1	1	1	1	1														1					A		
P39199	1					1	1	1																			4	1					1	1	1																			A		
P39206	1																										1	1																										A		
P39267	1					1		1																			3	1					1		1																			A		
P39279	1			1										1													3	1			1										1													A		
P39286	1		1				1	1																		1	5	1		1				1	1																		1	A		
P39288	1			1		1		1																			4	1			1		1		1																			A		
P39293	1																										1	1																										A		
P39298	1			1				1																			3	1			1				1																			A		
P39300	1			1																							2	1			1																							A		
P39304	1	1		1				1																			4	1	1		1				1																			A		
P39305	1					1																					2	1					1																					A		
P39306	1			1																							2	1			1																							A		
P39315	1							1																			2	1							1																			A		
P39337	1			1				1																			3	1			1				1																			A		
P39404	1			1																							2	1			1																							A		
P39406	1	1	1	1			1	1	1	1																1	9	1	1	1	1			1	1	1	1																1	A		
P39407	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P39408	1							1																			2	1							1																			A		
P39409	1																										1	1																										A		
P39411	1		1					1																			3	1		1					1																			A		
P39452	1					1																					2	1					1																					A		
P39829	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P39831	1	1	1	1		1	1	1		1			1														9	1	1	1	1		1	1	1		1			1														A		
P39902	1			1				1																			3	1			1				1																			A		
P40191	1	1	1				1	1						1													6	1	1	1				1	1						1													A		
P40711	1			1		1																					3	1			1		1																					A		
P41409	1	1	1			1	1	1						1													7	1	1	1			1	1	1						1													A		
P42593	1			1		1		1																			4	1			1		1		1																			A		
P42596	1		1	1			1	1		1																	6	1		1	1			1	1		1																	A		
P42599	1					1	1	1																			4	1					1	1	1																			A		
P42624	1			1				1																			3	1			1				1																			A		
P42632	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
P42904	1			1				1																			3	1			1				1																			A		
P42907	1																										1	1																										A		
P43329	1	1	1	1		1	1	1	1	1																1	10	1	1	1	1		1	1	1	1	1																1	A		
P45465	1			1																							2	1			1																							A		
P45469	1			1	1	1	1	1																			6	1			1	1	1	1	1																			A		
P45472	1			1																							2	1			1																							A		
P45475	1							1																			2	1							1																			A		
P45524	1	1				1														1							4	1	1				1														1							A		
P45527	1			1		1		1																			4	1			1		1		1																			A		
P45577	1	1				1	1	1	1																	1	7	1	1				1	1	1	1																	1	A		
P45578	1	1	1	1	1		1	1														1					8	1	1	1	1	1		1	1														1					A		
P45579	1																										1	1																										A		
P45748	1		1				1	1														1					5	1		1				1	1														1					A		
P45771	1		1					1														1					4	1		1					1														1					A		
P45799	1		1	1				1								1								1			6	1		1	1				1								1								1			A		
P46837	1	1	1	1		1	1	1		1																	8	1	1	1	1		1	1	1		1																	A		
P46850	1			1				1																			3	1			1				1																			A		
P46852	1	1		1				1																			4	1	1		1				1																			A		
P46853	1		1	1		1	1	1		1																	7	1		1	1		1	1	1		1																	A		
P46859	1			1				1																			3	1			1				1																			A		
P46888	1		1					1																			3	1		1					1																			A		
P46890	1																										1	1																										A		
P46891	1																										1	1																										A		
P50465	1			1				1																			3	1			1				1																			A		
P51025	1			1				1																			3	1			1				1																			A		
P52007	1		1				1	1																			4	1		1				1	1																			A		
P52044	1			1		1																					3	1			1		1																					A		
P52052	1			1		1		1																			4	1			1		1		1																			A		
P52061	1		1				1	1														1					5	1		1				1	1														1					A		
P52062	1		1	1			1	1																			5	1		1	1			1	1																			A		
P52076	1			1				1																			3	1			1				1																			A		
P52086	1																										1	1																										A		
P52095	1			1		1	1	1																			5	1			1		1	1	1																			A		
P52102	1							1														1					3	1							1														1					A		
P52108	1		1	1			1	1								1								1			7	1		1	1			1	1								1								1			A		
P54901	1			1		1	1	1																			5	1			1		1	1	1																			A		
P55135	1	1		1		1		1																			5	1	1		1		1		1																			A		
P55138	1			1				1																			3	1			1				1																			A		
P55798	1																										1	1																										A		
P56256	1			1																							2	1			1																							A		
P56262	1	1	1	1				1																			5	1	1	1	1				1																			A		
P60293	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P60340	1	1	1				1	1																			5	1	1	1				1	1																			A		
P60390	1	1	1	1			1	1	1																		7	1	1	1	1			1	1	1																		A		
P60422	1	1	1	1	1	1	1	1	1	1																1	11	1	1	1	1	1	1	1	1	1	1																1	A		
P60438	1		1	1	1	1	1	1	1	1									1			1				1	12	1		1	1	1	1	1	1	1	1									1			1				1	A		
P60472	1						1	1																			3	1						1	1																			A		
P60546	1		1				1	1														1					5	1		1				1	1														1					A		
P60566	1																										1	1																										A		
P60584	1			1																							2	1			1																							A		
