Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P76102	1			1		1		1																			4	1			1		1		1																			A		
P0CF54	1	1																									2	1	1																									A		
P0CF55	1	1																									2	1	1																									A		
P0CF57	1	1																									2	1	1																									A		
P0CE57	1		1																								2	1		1																								A		
P0CE51	1		1																								2	1		1																								A		
P76071	1	1																									2	1	1																									A		
P0CE54	1		1																								2	1		1																								A		
P75679	1																										1	1																										A		
P39212	1																										1	1																										A		
P0A8A0	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P0A8A2	1	1	1	1			1	1						1													7	1	1	1	1			1	1						1													A		
P0ADP0	1		1		1		1	1																			5	1		1		1		1	1																			A		
P75967	1			1																							2	1			1																							A		
P77692	1			1																							2	1			1																							A		
Q2EES9	1																										1	1																										A		
P0A8P6	1				1		1	1																			4	1				1		1	1																			A		
P0A8P8	1		1	1				1																			4	1		1	1				1																			A		
P36930	1																										1	1																										A		
P0ADF3	1					1																					2	1					1																					A		
P28697	1			1																							2	1			1																							A		
P0ADF0	1																										1	1																										A		
P11291	1																										1	1																										A		
Q79CP2	1																										1	1																										A		
Q9Z3A0	1			1																							2	1			1																							A		
P37309	1			1		1																					3	1			1		1																					A		
P45541	1		1	1		1																					4	1		1	1		1																					A		
P30852	1			1																							2	1			1																							A		
Q46911	1																										1	1																										A		
P0ADQ5	1		1	1																							3	1		1	1																							A		
P37008	1																										1	1																										A		
P64570	1			1																							2	1			1																							A		
P76612	1																										1	1																										A		
P39221	1																										1	1																										A		
