A	ACON2_ECOLI	1.97E+01	1.63E+03	33.55	739.77	0.097198	9719.8
A	RLMN_ECOLI	2.16E+00	4.53E+02	1.15	54.08	0.011299	1129.9
A	PEPB_ECOLI	4.93E+00	7.31E+02	18.05	780.47	0.0209	2090
A	UCPA_ECOLI	6.38E-01	2.23E+02	3.87	175.38	0.0035459	354.59
A	YHIR_ECOLI	1.25E+00	3.30E+02	1.07	50.43	0.0034848	348.48
A	KDGK_ECOLI	6.68E-01	2.29E+02	1.68	78	0.0082949	829.49
A	GHRB_ECOLI	2.51E+00	4.94E+02	9	398	0.022047	2204.7
A	GPMI_ECOLI	1.87E+01	1.59E+03	4.18	188.99	0.042496	4249.6
A	RLUB_ECOLI	1.51E+00	3.68E+02	6.08	271.77	0.021	2100
A	USPG_ECOLI	3.64E+00	6.13E+02	55.23	2308.02	0.053348	5334.8
A	YDFG_ECOLI	6.94E+00	8.92E+02	7.25	322.33	0.052727	5272.7
B	PQIB_ECOLI	4.45E-01	1.81E+02	0.23	11.36	0.00031571	31.571
A	PROQ_ECOLI	5.52E+01	2.98E+03	10.45	459.44	0.068045	6804.5
A	RIMN_ECOLI	2.73E+00	5.18E+02	0.58	27.85	0.0052844	528.44
A	RDGB_ECOLI	1.68E+00	3.92E+02	3.33	152	0.020861	2086.1
A	NIFJ_ECOLI	2.16E-01	1.19E+02	0.25	12.32	0.0062377	623.77
A	KGUA_ECOLI	6.20E+00	8.35E+02	2.83	129.48	0.017615	1761.5
B	GUAC_ECOLI	3.92E+00	6.40E+02	28.76	1226.02	0.028706	2870.6
A	LIPA_ECOLI	3.64E+00	6.13E+02	6.94	308.96	0.012493	1249.3
B	MSBA_ECOLI	5.57E-01	2.06E+02	0.91	43	0.0099165	991.65
F1	LEPA_ECOLI	5.19E+00	7.53E+02	8.28	366.63	0.02678	2678
A	SYH_ECOLI	4.48E+00	6.92E+02	3.05	139.23	0.030085	3008.5
G	LOLA_ECOLI	3.64E+00	6.13E+02	0.33	16.12	0.0013501	135.01
A	FLAV_ECOLI	6.20E+00	8.35E+02	18.31	791.36	0.19038	19038
A	ISPG_ECOLI	3.16E+00	5.65E+02	2.46	113.03	0.016418	1641.8
A	ISPH_ECOLI	1.15E+00	3.15E+02	1.07	50.43	0.01273	1273
A	GPMA_ECOLI	8.37E+02	1.44E+04	9.86	253.16	70.97	2570.12	0.29961	29961
A	YAEH_ECOLI	6.20E+00	8.35E+02	9	398	0.10524	10524
A	NFUA_ECOLI	4.63E+02	1.02E+04	9	398	0.1569	15690
A	CLPB_ECOLI	1.98E+01	1.64E+03	12.53	547.85	0.048601	4860.1
A	YGCF_ECOLI	8.74E-01	2.68E+02	2.16	99.64	0.0099279	992.79
A	YQJI_ECOLI	6.68E-01	2.29E+02	0.93	44.02	0.035258	3525.8
A	YFCD_ECOLI	2.73E+00	5.18E+02	16.78	727.17	0.020189	2018.9
A	YGGS_ECOLI	2.98E+00	5.46E+02	3.39	154.25	0.0081012	810.12
A	YFCE_ECOLI	2.16E+00	4.53E+02	13.68	596.53	0.021713	2171.3
A	HLDD_ECOLI	3.49E+01	2.28E+03	17.96	776.69	0.059649	5964.9
F1	MALK_ECOLI	5.85E-01	2.12E+02	3.33	152	0.040257	4025.7
A	KAD_ECOLI	9.90E+01	4.18E+03	17.96	402.59	0.30843	30843
A	DCEA_ECOLI	2.55E+00	4.98E+02	0.35	17.07	0.269	26900
A	YBFF_ECOLI	4.25E-01	1.76E+02	0.58	27.85	0.0054061	540.61
A	YCAO_ECOLI	1.74E+00	3.99E+02	2.51	115.26	0.00013223	13.223
A	YCBL_ECOLI	7.78E-01	2.50E+02	0.78	37.12	0.018819	1881.9
A	RLML_ECOLI	5.01E-01	1.94E+02	1	28.78	0.00017332	17.332
A	YCCU_ECOLI	9.31E-01	2.78E+02	3.64	165.27	0.017734	1773.4
A	NAGZ_ECOLI	3.89E-01	1.67E+02	0.62	29.71	0.0021949	219.49
F1	LOLD_ECOLI	7.78E-01	2.50E+02	0.47	22.71	0.023721	2372.1
A	MAO2_ECOLI	2.16E+00	4.53E+02	8.47	374.79	0.019797	1979.7
A	YQHD_ECOLI	3.64E+00	6.13E+02	3.28	149	0.002071	207.1
A	TRUD_ECOLI	1.15E+00	3.15E+02	1	65.44	0.0042305	423.05
A	DPO1_ECOLI	1.20E+00	3.21E+02	2.59	118.82	0.017241	1724.1
A	SDHD_ECOLI	3.11E-01	1.47E+02	7.91	350.74	0.00079027	79.027
A	SYA_ECOLI	2.39E+01	1.83E+03	6.16	275.23	0.034219	3421.9
F1	DNAA_ECOLI	1.94E-01	1.12E+02	0.48	23.18	0.011497	1149.7
F1	ODP2_ECOLI	3.04E+02	8.02E+03	17.84	2785.78	0.38417	38417
A	DNAJ_ECOLI	5.81E+00	8.05E+02	6.63	295.57	0.028798	2879.8
A	T1MK_ECOLI	1.37E+00	3.48E+02	1.88	87	0.0052811	528.11
A	PFLB_ECOLI	6.21E+02	1.21E+04	19.59	641.14	0.096355	9635.5
A	GLTB_ECOLI	4.91E+00	7.29E+02	0.31	15.17	0.06969	6969
F1	UVRA_ECOLI	1.20E+00	3.22E+02	0.23	11.36	0.0020085	200.85
F1	ATPE_ECOLI	9.90E+01	4.18E+03	9	398	0.00010535	10.535
A	CH10_ECOLI	2.14E+02	6.54E+03	99	4064.14	2.1907	219070
A	EFTS_ECOLI	1.14E+04	6.60E+04	69.79	2895.73	0.3094	30940
A	HSLO_ECOLI	7.11E+00	9.05E+02	3.92	177.58	0.03355	3355
A	MURA_ECOLI	1.82E+00	4.10E+02	2.78	127.26	0.02186	2186
A	NANE_ECOLI	6.68E-01	2.29E+02	3.33	152	0.0029955	299.55
F1	PLSB_ECOLI	3.01E-01	1.44E+02	2.95	135	0.016615	1661.5
A	PTH_ECOLI	3.12E+00	5.61E+02	5.11	229.62	0.0080232	802.32
A	RPOZ_ECOLI	1.58E+03	2.09E+04	25.83	1104.73	0.68055	68055
A	YBAB_ECOLI	2.14E+02	6.54E+03	9	398	0.080643	8064.3
