Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P75734	0	1	1	1	0	0	0	3	I	YBFN_ECOLI			0	1				
P75742	0	1	1	1	0	0	0	3	B	DTPD_ECOLI			0	0	0			
P75799	0	1	1	1	0	0	0	3	B	GSID_ECOLI			0	0				
P75804	0	1	1	1	0	0	0	3	G	YLII_ECOLI			0	0	0			
P75806	0	1	1	1	0	0	0	3	B	YBJG_ECOLI			2	2	2			
P75839	0	1	1	1	0	0	0	3	B	YCAP_ECOLI			2	2	2			
P75916	0	1	1	1	0	0	0	3	B	YCDZ_ECOLI			2	2	2			
P75920	0	1	1	1	0	0	0	3	B	OPGC_ECOLI			2	2				
P75938	0	1	1	1	0	0	0	3	G	FLGF_ECOLI			2	2	2			
P75948	0	1	1	1	0	0	0	3	B	THIK_ECOLI			2	2	2			
P76001	0	1	1	1	0	0	0	3	G	YCGJ_ECOLI			2	2	2			
P76010	0	1	1	1	0	0	0	3	F1	YCGR_ECOLI			2	2	0			
P76135	0	1	1	1	0	0	0	3	B	YDEO_ECOLI			0	0	0			
P76169	0	1	1	1	0	0	0	3	B	YNFA_ECOLI			2	2	2			
P76198	0	1	1	1	0	0	0	3	B	YDIN_ECOLI			0	0	0			
P76214	0	1	1	1	0	0	0	3	B	VES_ECOLI			2	0	0			
P76221	0	1	1	1	0	0	0	3	B	YDJZ_ECOLI			0	2				
P76236	0	1	1	1	0	0	0	3	B	YEAI_ECOLI			0	0	0			
P76249	0	1	1	1	0	0	0	3	B	LEUE_ECOLI			2	0	2			
P76261	0	1	1	1	0	0	0	3	B	ADRB_ECOLI			0	2				
P76264	0	1	1	1	0	0	0	3	B	YEBN_ECOLI			0	0	0			
P76278	0	1	1	1	0	0	0	3	B	YEBZ_ECOLI			2	2	2			
P76297	0	1	1	1	0	0	0	3	G	FLHE_ECOLI			2	2				
P76341	0	1	1	1	0	0	0	3	G	HIUH_ECOLI			0	2				
P76343	0	1	1	1	0	0	0	3	B	YEDZ_ECOLI			0	0	0			
P76344	0	1	1	1	0	0	0	3	G	YODA_ECOLI			0	2				
P76387	0	1	1	1	0	0	0	3	B	WZC_ECOLI			0	0	0			
P76393	0	1	1	1	0	0	0	3	B	YEGI_ECOLI			2	2	2			
P76421	0	1	1	1	0	0	0	3	B	YEGX_ECOLI			0	2				
P76462	0	1	1	1	0	0	0	3	G	YFAP_ECOLI			0	0				
P76463	0	1	1	1	0	0	0	3	G	YFAQ_ECOLI			2	2	0			
P76466	0	1	1	1	0	0	0	3	G	YFAT_ECOLI			0	1				
P76518	0	1	1	1	0	0	0	3	B	YFDE_ECOLI			0	0	0			
P76552	0	1	1	1	0	0	0	3	B	EUTH_ECOLI			0	0	0			
P76559	0	1	1	1	0	0	0	3	G	YPFG_ECOLI			0	0	0			
P76577	0	1	1	1	0	0	0	3	B	PBPC_ECOLI			1	1	2			
P77214	0	1	1	1	0	0	0	3	G	CUSF_ECOLI			0	0	0			
P77223	0	1	1	1	0	1	0	4	F1	RNFB_ECOLI			2	2	2			
P77239	0	1	1	1	1	0	0	4	F2	CUSB_ECOLI			2	0	0	0		
P77269	0	1	1	1	0	0	0	3	G	YPHF_ECOLI			0	2				
P77280	0	1	1	1	0	0	0	3	B	YDJJ_ECOLI			0	2				
P77328	0	1	1	1	0	0	0	3	B	YBBY_ECOLI			0	0	0			
P77360	0	1	1	1	0	0	0	3	B	YPHC_ECOLI			1	0	0			
P77377	0	1	1	1	0	0	0	3	B	WZXC_ECOLI			2	2				
P77538	0	1	1	1	0	0	0	3	B	YFHR_ECOLI			2	0	2			
P77539	0	1	1	1	0	0	0	3	B	YDJL_ECOLI			0	0	0			
P77579	0	1	1	1	0	0	0	3	B	PTFC1_ECOLI			0	0	0			
P78067	1	1	1	1	0	0	0	4	G	YNJE_ECOLI	2.43	2	2	2				
Q46755	0	1	1	1	0	0	0	3	B	SIRB2_ECOLI			2	2	2			
Q46808	0	1	1	1	0	1	0	4	B	YQEB_ECOLI			2	2	2			
Q46821	0	1	1	1	0	1	0	4	B	YGFU_ECOLI			0	2	0			
Q46858	0	1	1	1	0	0	0	3	G	YQHG_ECOLI			0	0				
Q46916	0	1	1	1	0	0	0	3	B	GUDP_ECOLI			0	0				
Q47142	0	1	1	1	0	0	0	3	B	HCAT_ECOLI			2	2				
Q47151	0	1	1	1	0	0	0	3	G	YAFL_ECOLI			0	0	0			
Q47702	0	1	1	1	0	0	0	3	G	YFEK_ECOLI			0	0	0			
A5A616	0	0	0	0	0	0	0	0	B	YNEM_ECOLI								
A5A619	0	0	0	0	0	0	0	0	B	YOJO_ECOLI								
A5A628	0	0	0	0	0	0	0	0	B	YJBT_ECOLI								
A5A630	0	0	0	0	0	0	0	0	B	YTCA_ECOLI								
C1P5Z8	0	0	0	0	0	0	0	0	B	YKGR_ECOLI								
C1P5Z9	0	0	0	0	0	0	0	0	B	YMIB_ECOLI								
C1P614	0	0	0	0	0	0	0	0	B	YQFG_ECOLI								
O32528	0	1	1	1	0	0	0	3	I	YPDI_ECOLI			0	0	0			
P02921	0	1	1	1	0	0	0	3	B	MELB_ECOLI			2	2				
P02942	0	1	1	1	0	0	0	3	B	MCP1_ECOLI			2	2	2			
P03825	0	1	1	1	1	0	0	4	B	PIOO_ECOLI			2	0	0	0		
P03841	1	1	1	1	0	0	0	4	G	MALM_ECOLI	1	2	2	2	2			
P04128	0	1	1	1	0	0	0	3	F4	FIMA1_ECOLI			2	2	2			
P04949	0	1	1	1	1	0	0	4	F4	FLIC_ECOLI			2	2		0		
P05706	1	1	1	1	1	0	0	5	F1	PTHA_ECOLI	0.17	2	2	2	2	0		
P06609	0	1	1	1	0	0	0	3	B	BTUC_ECOLI			2	0				
P06972	0	1	1	1	0	0	0	3	B	FHUB_ECOLI			2	2	2			
P06974	0	1	1	1	1	0	0	4	F1	FLIM_ECOLI			2	2	2	0		
P07017	0	1	1	1	0	1	0	4	B	MCP2_ECOLI			2	2				
P07018	0	1	1	1	1	0	0	4	B	MCP4_ECOLI			2	2	0	0		
P08189	0	1	1	1	1	0	0	4	F4	FIMF_ECOLI			2	2	2	0		
P08190	0	1	1	1	1	0	0	4	F4	FIMG_ECOLI			2	0	0	0		
P08191	0	1	1	1	0	0	0	3	F4	FIMH_ECOLI			2	2				
P08194	1	1	1	1	0	0	0	4	B	GLPT_ECOLI	0	2	2	2	2			
