Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
Q47539	0	1	1	1	0	0	0	3	B	TAUC_ECOLI			0	0				
Q47706	0	1	1	1	1	0	0	4	H	UIDC_ECOLI			0	0	0	0		
P52696	0	1	1	1	0	0	0	3	B	YBHD_ECOLI			0	0	0			
P77858	0	1	1	1	0	0	0	3	B	HYFC_ECOLI			0	0	0			
P76425	0	1	1	1	0	0	0	3	B	RCNA_ECOLI			0	0	0			
P75763	0	1	1	1	0	0	0	3	B	YBHI_ECOLI			0	0	0			
P76197	0	1	1	1	0	0	0	3	B	YDIM_ECOLI			0	0				
P0ABD1	0	1	1	1	0	0	0	3	B	YEAV_ECOLI			0	0	0			
P27843	0	1	1	1	0	0	0	3	B	YIGG_ECOLI			0	0	0			
P76482	0	1	1	1	0	0	0	3	B	YFBL_ECOLI			0	0	0			
P77381	0	1	1	1	0	0	0	3	B	DJLB_ECOLI			0	0				
P77359	0	1	1	1	0	0	0	3	B	DJLC_ECOLI			0	0	0			
P77455	0	1	1	1	0	0	0	3	B	MAOC_ECOLI			0	0	0			
P76083	0	1	1	1	0	0	0	3	B	PAAH_ECOLI			0	0	0			
Q47536	0	1	1	1	0	0	0	3	B	YAIP_ECOLI			0	0	0			
P75711	0	1	1	1	0	0	0	3	B	YBBV_ECOLI			0	0				
P45848	0	1	1	1	0	0	0	3	B	YCIQ_ECOLI			0	0	0			
P75786	0	1	1	1	0	0	0	3	B	YLIL_ECOLI			0	0	0			
P76481	0	1	1	1	1	0	0	4	E	YFBK_ECOLI			0	0	0	0		
P76639	0	1	1	1	0	0	0	3	F1	YGEH_ECOLI			0	0	0			
