Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
YJFY_ECOLI	P0AF86	0	1	1	1	0	0	0	3	G		0	0	0			
POTI_ECOLI	P0AFL1	0	1	1	1	0	0	0	3	B		0	0	0			
YADS_ECOLI	P0AFP0	0	1	1	1	0	0	0	3	B		0	0	0			
YCHM_ECOLI	P0AFR2	1	1	1	1	0	0	1	5	B		0	0	0			B
TQSA_ECOLI	P0AFS5	0	1	1	1	0	0	1	4	B		0	0	0			B
RHTB_ECOLI	P0AG34	0	1	1	1	0	0	1	4	B		2	1				B
MLTF_ECOLI	P0AGC5	1	1	1	1	0	0	0	4	F3	1	0	0	0			
XYLE_ECOLI	P0AGF4	0	1	1	1	0	0	0	3	B		0	0	0			
XYLH_ECOLI	P0AGI4	0	1	1	1	1	0	0	4	B		0	0	0	0		
UIDB_ECOLI	P0CE44	0	1	1	1	0	0	0	3	B		0	0	0			
YIAB_ECOLI	P11286	0	1	1	1	0	0	0	3	B		0	0				
TREA_ECOLI	P13482	0	1	1	1	0	1	1	5	G		0	0	0			G
CHIA_ECOLI	P13656	0	1	1	1	0	0	0	3	G		0	0				
PROW_ECOLI	P14176	0	1	1	1	1	0	1	5	B		2	0	0	0		B
FECC_ECOLI	P15030	0	1	1	1	0	0	0	3	B		2	0	0			
FLK_ECOLI	P15286	1	1	1	1	0	0	1	5	B	1	2	0	0			B
PANF_ECOLI	P16256	0	1	1	1	1	0	0	4	B		2	0	0	0		
PHNE_ECOLI	P16683	0	1	1	1	0	0	0	3	B		0	0	0			
PHNP_ECOLI	P16692	0	1	1	1	0	1	0	4	G		0	0	0			
CYNX_ECOLI	P17583	0	1	1	1	0	0	0	3	B		0	0	0			
YFAA_ECOLI	P17994	0	1	1	1	0	0	0	3	G		0	0	0			
PTFBC_ECOLI	P20966	1	1	1	1	0	0	1	5	B	1	0	0				B
CYSQ_ECOLI	P22255	0	1	1	1	0	0	1	4	F1		2	0	0			F1
LIVM_ECOLI	P22729	0	1	1	1	0	0	0	3	B		0	0	0			
MGLC_ECOLI	P23200	0	1	1	1	0	0	1	4	B		0	0	0			B
HYFB_ECOLI	P23482	0	1	1	1	0	0	0	3	B		0	0	0			
FECR_ECOLI	P23485	0	1	1	1	1	0	0	4	B		0	0	0	0		
FEPD_ECOLI	P23876	0	1	1	1	1	0	1	5	B		0	0	0	0		B
FEPG_ECOLI	P23877	0	1	1	1	0	0	0	3	B		0	0	0			
CADC_ECOLI	P23890	0	1	1	1	1	0	1	5	B		2	0		0		B
ARAJ_ECOLI	P23910	0	1	1	1	0	0	0	3	B		0	0	0			
ENTS_ECOLI	P24077	0	1	1	1	0	0	0	3	B		0	0	0			
ACRE_ECOLI	P24180	0	0	1	1	0	0	0	2	E			0	0			
ACRF_ECOLI	P24181	0	1	1	1	1	0	0	4	B		0	0	0	0		
PHEP_ECOLI	P24207	0	1	1	1	0	0	1	4	B		0	0	0			B
PTIBC_ECOLI	P24241	0	1	1	1	0	0	0	3	B		0	0	0			
YEIB_ECOLI	P25747	0	1	1	1	0	0	0	3	B		0	0	0			
LEP4_ECOLI	P25960	0	1	1	1	1	0	0	4	B		0	0		0		
BGLH_ECOLI	P26218	0	1	1	1	0	0	0	3	H		0	0	0			
FEPE_ECOLI	P26266	0	1	1	1	1	0	0	4	B		0	0	0	0		
RHAT_ECOLI	P27125	0	1	1	1	0	0	1	4	B		0	0	0			B
ARGK_ECOLI	P27254	0	1	1	1	0	0	0	3	F1		0	0	0			
EMRA_ECOLI	P27303	1	1	1	1	0	0	1	5	B	1	2	0	0			B
WZYE_ECOLI	P27835	0	0	1	1	0	0	0	2	B			1	0			
YIGF_ECOLI	P27842	0	1	1	1	0	0	0	3	B		0	0	0			
BCR_ECOLI	P28246	0	1	1	1	0	0	1	4	B		2	0	0			B
CSGA_ECOLI	P28307	0	1	1	1	1	0	0	4	F4		0	0	0	0		
YBFC_ECOLI	P28915	0	1	1	1	0	0	0	3	G		0	0	0			
ARTJ_ECOLI	P30860	0	1	1	1	0	0	1	4	G		0	0	0			G
YADC_ECOLI	P31058	0	1	1	1	0	0	0	3	G		0	0				
MARB_ECOLI	P31121	0	1	1	1	1	0	0	4	G		0	0	0	0		
