ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
IG 201 317796 319450 fwd at	138.223	0	0.932046
IG 202 317807 317899 rev at	106.683	0	0.254899
ykgC b0304 at	554.475	0	0.235169
IG 203 319253 323631 rev at	0.964028	0	0.862577
ykgD b0305 at	123.957	0	0.0778177
IG 204 320306 320831 fwd at	241.121	0	0.153312
ykgE b0306 at	312.542	2	0.015454
ykgF b0307 at	247.144	2	0.0239949
ykgG b0308 at	550.862	2	0.000892689
b0309 at	124.099	0	0.65838
IG 205 323678 328686 fwd at	192.251	2	0.0162182
IG 206 323845 323919 rev at	126.133	0	0.240088
ykgH b0310 at	387.717	0	0.703191
IG 207 324589 324800 rev at	146.805	0	0.070073
betA b0311 at	338.476	2	0.0151637
betB b0312 at	663.534	2	0.00459071
betI b0313 at	1003.36	2	0.00379911
IG 208 328559 332724 rev at	345.341	2	0.00687575
betT b0314 at	512.867	2	0.034572
IG 209 330721 331594 fwd at	23.711	0	0.75224
yahA b0315 at	123.471	0	0.105738
IG 210 332684 334503 fwd at	325.869	2	0.0163434
yahB b0316 at	943.251	0	0.181343
IG 211 333658 333748 rev at	556.221	2	0.000327479
yahC b0317 at	221.627	0	0.213264
IG 212 334247 344889 rev f at	249.905	2	0.025133
yahD b0318 at	269.77	2	0.0391461
IG 213 335110 335148 fwd at	182.322	2	0.00049077
yahE b0319 at	157.705	2	0.0320196
yahF b0320 at	174.616	2	0.00529677
yahG b0321 at	190.597	0	0.153312
yahH b0322 f at	281.777	2	0.00146484
IG 214 339314 339388 fwd at	54.26	0	0.153312
yahI b0323 at	981.774	0	0.522646
yahJ b0324 at	373.155	0	0.786736
IG 215 341732 342107 fwd at	451.273	2	0.0115479
yahK b0325 at	210.385	2	0.034572
IG 216 343158 343399 fwd at	68.796	2	0.0442012
yahL b0326 at	34.401	0	0.95023
IG 217 344216 344597 fwd at	53.385	2	0.00622665
yahM b0327 at	975.693	0	0.733935
IG 218 344874 345707 fwd at	885.194	0	0.733935
yahN b0328 at	133.896	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 219 345562 346080 rev at	420.815	0	0.593492
yahO b0329 at	693.8	2	0.000603158
IG 220 345984 347905 fwd at	208.836	0	0.241105
prpR b0330 at	287.799	0	0.71497
IG 221 347668 348741 rev at	291.414	0	0.724538
prpB b0331 at	155.692	0	0.11649
b0332 at	127.364	2	0.036797
IG 222 348797 349235 fwd at	730.924	2	0.00108112
IG 223 349189 357014 rev f at	321.332	2	0.0132398
prpC b0333 at	927.792	1	0.0558844
prpD b0334 at	403.099	0	0.522646
