ID interactor A	ID interactor B
P36979	P02421
P42550	P02421
P02410	P02422
P06709	P02422
P15716	P02422
P36996	P02422
P23304	P02422
P10443	P02422
P04742	P02422
P15038	P02422
P25521	P02422
P08756	P02422
P23282	P02422
P08177	P02422
P00490	P02422
P30745	P02422
P42184	P02422
P29464	P02422
P24210	P02422
P24229	P02422
P25540	P02422
P21513	P02422
P00574	P02422
P14081	P02422
P17580	P02422
P14294	P02422
P45567	P02422
P25538	P02422
P45571	P02422
P77349	P02422
P75767	P02422
P75829	P02422
P07019	P02422
P08193	P02423
P33224	P02423
P76086	P02423
P36659	P02423
Q47130	P02423
P00475	P02423
P08622	P02423
P04742	P02423
P11028	P02423
P10115	P02423
P28692	P02423
P00960	P02423
P25521	P02423
P08756	P02423
P08936	P02423
P28630	P02423
P37181	P02423
P16528	P02423
P17579	P02423
P08177	P02423
P10440	P02423
P00490	P02423
P32173	P02423
P31120	P02423
P22523	P02423
P28909	P02423
P03003	P02423
P05055	P02423
P39159	P02423
P29464	P02423
P24210	P02423
P24229	P02423
P25540	P02423
P06277	P02423
P02388	P02423
P00575	P02423
P00579	P02423
P17580	P02423
P15082	P02423
P19675	P02423
P25522	P02423
P00955	P02423
P07028	P02423
P03018	P02423
P21499	P02423
P45571	P02423
P00892	P02423
P37765	P02423
P36979	P02423
P33635	P02423
P76594	P02423
P32147	P02423
P39290	P02423
P33371	P02423
P45748	P02423
P02437	P02424
P36996	P02424
P23304	P02424
P03005	P02424
P08622	P02424
P08756	P02424
P28689	P02424
P07813	P02424
P07906	P02424
P33938	P02424
P39159	P02424
P23830	P02424
P29464	P02424
P21513	P02424
P02424	P02424
P02384	P02424
