	ID interactor A	ID interactor B
DCYD_ECOLI	P76316	P0A7V3
RSGA_ECOLI	P39286	P0A7V3
HSLR_ECOLI	P0ACG8	P0A7V3
HSLO_ECOLI	P0A6Y5	P0A7V3
RL7_ECOLI	P0A7K2	P0A7V3
RS5_ECOLI	P0A7W1	P0A7V8
CLPA_ECOLI	P0ABH9	P0A7V8
CSPA_ECOLI	P0A9X9	P0A7V8
CSPC_ECOLI	P0A9Y6	P0A7V8
CSPD_ECOLI	P0A968	P0A7V8
DEAD_ECOLI	P0A9P6	P0A7V8
IHFA_ECOLI	P0A6X7	P0A7V8
IHFB_ECOLI	P0A6Y1	P0A7V8
NUSA_ECOLI	P0AFF6	P0A7V8
PNP_ECOLI	P05055	P0A7V8
RCSB_ECOLI	P69407	P0A7V8
RIBD_ECOLI	P25539	P0A7V8
RSUA_ECOLI	P0AA43	P0A7V8
SELB_ECOLI	P14081	P0A7V8
UVRC_ECOLI	P0A8G0	P0A7V8
RNR_ECOLI	P21499	P0A7V8
ILVG_ECOLI	P00892	P0A7V8
YFIF_ECOLI	P0AGJ5	P0A7V8
YGCP_ECOLI	Q46906	P0A7V8
DCTR_ECOLI	P37195	P0A7V8
RL7_ECOLI	P0A7K2	P0A7W1
RS3_ECOLI	P0A7V3	P0A7W1
RL1_ECOLI	P0A7L0	P0A7W1
YDIH_ECOLI	P64476	P0A7W1
RNG_ECOLI	P0A9J0	P0A7W1
CRP_ECOLI	P0ACJ8	P0A7W1
CSPC_ECOLI	P0A9Y6	P0A7W1
ENO_ECOLI	P0A6P9	P0A7W1
FABA_ECOLI	P0A6Q3	P0A7W1
FIMB_ECOLI	P0ADH5	P0A7W1
FIS_ECOLI	P0A6R3	P0A7W1
SYGA_ECOLI	P00960	P0A7W1
HOLC_ECOLI	P28905	P0A7W1
HRPA_ECOLI	P43329	P0A7W1
HSLU_ECOLI	P0A6H5	P0A7W1
COAD_ECOLI	P0A6I6	P0A7W1
PNP_ECOLI	P05055	P0A7W1
RF2_ECOLI	P07012	P0A7W1
PYRH_ECOLI	P0A7E9	P0A7W1
RNB_ECOLI	P30850	P0A7W1
RNH_ECOLI	P0A7Y4	P0A7W1
RNPA_ECOLI	P0A7Y8	P0A7W1
RL4_ECOLI	P60723	P0A7W1
RPOA_ECOLI	P0A7Z4	P0A7W1
RPOB_ECOLI	P0A8V2	P0A7W1
RPOD_ECOLI	P00579	P0A7W1
RS5_ECOLI	P0A7W1	P0A7W1
RL3_ECOLI	P60438	P0A7W1
RL21_ECOLI	P0AG48	P0A7W1
RS2_ECOLI	P0A7V0	P0A7W1
RS6_ECOLI	P02358	P0A7W1
RS7_ECOLI	P02359	P0A7W1
RS10_ECOLI	P0A7R5	P0A7W1
RS19_ECOLI	P0A7U3	P0A7W1
RS20_ECOLI	P0A7U7	P0A7W1
FKBX_ECOLI	P0AEM0	P0A7W1
SSRP_ECOLI	P0A832	P0A7W1
SRLR_ECOLI	P15082	P0A7W1
3MG1_ECOLI	P05100	P0A7W1
TGT_ECOLI	P0A847	P0A7W1
SYT_ECOLI	P0A8M3	P0A7W1
TIG_ECOLI	P0A850	P0A7W1
SYW_ECOLI	P00954	P0A7W1
YBHK_ECOLI	P75767	P0A7W1
