Merge ID	Cellular Component	Biological Process
P0AAF3	(plasma+membrane)	(transport)
P52097	(cytoplasm)	(translation)
P0A858	(cytosol)	
P0AAF1	(plasma+membrane)	(transmembrane+transport::transport)
P0A7T7	(ribosome)	(translation)
P0AEU7	(cytosol)	(protein+folding)
P63284	(cytosol)	(response+to+stress)
P0AAF6	(plasma+membrane)	(transport)
P07330	(cytoplasm)	
P0A840	(cytoplasm)	
P42911	(plasma+membrane)	(transport)
P77718	(cytoplasm)	
P00805	(cytosol)	(cellular+amino+acid+metabolic+process)
P60651	(cytoplasm)	
P0AAG0	(cytoplasm::plasma+membrane)	
P19642	(plasma+membrane)	(transport)
P00803	(plasma+membrane)	
P0AAG3	(plasma+membrane)	(transport)
P0A8D9	(plasma+membrane)	
P08190	(intracellular)	(cell+adhesion)
P75831	(plasma+membrane)	(transport)
P52095	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P32132	(intracellular)	(translation)
P08192	(cytoplasm)	
P46068	(plasma+membrane)	(transport)
P0AAG8	(plasma+membrane)	(transport)
P32131	(cytoplasm)	
P08194	(plasma+membrane)	(transmembrane+transport::transport)
P26459	(plasma+membrane)	
P0ACG1	(intracellular)	
P32135	(plasma+membrane)	(transmembrane+transport::transport)
P04825	(plasma+membrane)	
P75830	(plasma+membrane)	(transport)
P08839	(cytosol)	(transport)
P0A832	(cytoplasm)	(translation)
P0A7R1	(ribosome)	(translation)
P0AAH0	(plasma+membrane)	(transport)
P0A836	(cytoplasm)	
P15288	(cytoplasm)	
P0ACH8	(intracellular)	
P52076	(cytoplasm)	
P0AAH4	(plasma+membrane)	(transport)
P0AAH8	(plasma+membrane)	(transport)
P19624	(cytoplasm)	
P75825	(cytoplasm)	
P08312	(cytoplasm)	(translation)
P75826	(plasma+membrane)	
P0A6C5	(cytoplasm)	
P0A6C1	(intracellular)	
P0A6C8	(cytoplasm)	
P76027	(plasma+membrane)	
P63228	(cytoplasm)	
P34749	(plasma+membrane)	(transport)
P33218	(plasma+membrane)	
P52643	(cytoplasm)	
P0A6D3	(cytoplasm)	
P0A6D0	(cytoplasm)	
P76219	(plasma+membrane)	
P31992	(cytoplasm)	
P76213	(intracellular)	
P76015	(cytosol)	
P0ADE8	(cytoplasm)	
P32099	(cytoplasm)	(protein+modification+process)
P0A6E1	(cytoplasm)	
P76208	(plasma+membrane)	
P0A6E4	(cytoplasm)	
P0A6E6	(plasma+membrane)	
P63204	(intracellular)	
P07018	(plasma+membrane)	(signal+transduction)
P33234	(intracellular)	
P76008	(cytoplasm)	
P33232	(plasma+membrane)	
P63201	(intracellular)	
P33235	(extracellular+region)	
P0AEZ3	(plasma+membrane)	(cell+cycle::cell+division)
P07012	(cytoplasm)	(translation)
P0AEZ7	(plasma+membrane)	
P0A6F3	(cytosol)	(carbohydrate+metabolic+process)
P0A6F1	(cytoplasm::cytosol)	
P07017	(plasma+membrane)	(signal+transduction)
P07014	(plasma+membrane)	(transport)
P0A6F5	(cytosol)	(cell+cycle::cell+division::protein+folding)
P0A6F9	(cytosol)	(cell+cycle::cell+division::protein+folding)
P22586	(plasma+membrane)	
P0ADC1	(plasma+membrane)	
P33224	(cytoplasm)	
P33226	(plasma+membrane)	(transport)
P77396	(intracellular)	
P04391	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P15082	(intracellular)	
P77399	(cytoplasm)	(lipid+metabolic+process)
P37773__1	(cytoplasm::extracellular+region)	(biosynthetic+process::cell+cycle::cell+division)
P07004	(cytoplasm)	
P37773__2	(cytoplasm::extracellular+region)	(biosynthetic+process::cell+cycle::cell+division)
P0A6G7	(cytosol)	
P04395	(cytoplasm)	
P07003	(cytosol::plasma+membrane)	
P0ABB4	(cytoplasm::plasma+membrane)	
P0ABB0	(cytoplasm::plasma+membrane)	
P0AFA5	(plasma+membrane)	(transport)
P31119	(plasma+membrane)	
P0AFA2	(plasma+membrane)	(signal+transduction)
P60906	(cytoplasm)	(translation)
P28629	(cytosol)	(cellular+amino+acid+metabolic+process)
P15070	(plasma+membrane)	
P0ABA4	(plasma+membrane)	
P0ABA6	(plasma+membrane)	
P0A6H5	(cytoplasm)	
P0A6I3	(cytoplasm)	
P0A6I0	(cytoplasm)	
P0AFB5	(intracellular)	(signal+transduction)
P0AFB8	(intracellular)	
P77395	(cytoplasm)	
P0AFB1	(plasma+membrane)	(cell+cycle::cell+division)
P35340	(cytosol)	
P77374	(plasma+membrane)	
Q46806	(cytoplasm)	
P28635	(plasma+membrane)	(transport)
P46481	(plasma+membrane)	
Q06065	(cytoplasm::intracellular)	
P77379	(intracellular)	
Q06067	(plasma+membrane)	(signal+transduction)
P46482	(plasma+membrane)	
P0A6I6	(cytoplasm)	
Q46802	(intracellular)	(signal+transduction)
P40719	(plasma+membrane)	(signal+transduction)
P60723	(ribosome)	(translation)
P14081	(cytoplasm)	
P40710	(plasma+membrane)	
P76251	(cytoplasm)	
P64461	(cytoplasm)	
P04994	(cytoplasm)	
P76237	(plasma+membrane)	
P76236	(plasma+membrane)	
P30844	(plasma+membrane)	(signal+transduction)
P0A6J8	(cell+wall::cytoplasm)	
P30843	(cytoplasm)	
P0A6J5	(plasma+membrane)	
P60716	(cytoplasm)	
P30847	(plasma+membrane)	(signal+transduction)
P31979	(plasma+membrane)	
P30845	(plasma+membrane)	
P07913	(cytoplasm::cytosol)	
P52697	(cytoplasm)	(carbohydrate+metabolic+process)
P02942	(plasma+membrane)	(signal+transduction)
P02943	(plasma+membrane)	(transport)
P60932	(plasma+membrane)	
P77555	(cytoplasm)	
P0AAT4	(plasma+membrane)	(transmembrane+transport)
P0A9Q9	(cytoplasm)	
P0AAT6	(cytoplasm)	
P17854	(cytoplasm)	
P03024	(intracellular)	(carbohydrate+metabolic+process)
P03023	(cytosol)	
P13518	(plasma+membrane)	
P32689	(plasma+membrane)	
P11071	(cytoplasm)	
Q46822	(cytoplasm)	
P30855	(plasma+membrane)	(signal+transduction)
P03018	(cytoplasm)	
Q46829	(cytoplasm)	(carbohydrate+metabolic+process)
P0A9R7	(cytoplasm)	(cell+cycle::cell+division)
P25437	(cytoplasm::cytosol)	
P30850	(cytoplasm)	
P09030	(intracellular)	
P31548	(plasma+membrane)	(transport)
P61517	(cytosol)	
P31545	(cytoplasm)	
P37689	(cytoplasm)	
